Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,1.066519,1.072024,0.998212,1.043574,1.043574,1766326155
2022-01-26,1.043620,1.149648,1.026486,1.079047,1.079047,2437592239
2022-01-27,1.078735,1.078735,1.009166,1.043533,1.043533,1519972359
2022-01-28,1.043234,1.058343,1.014096,1.050606,1.050606,1206550586
2022-01-29,1.050492,1.080614,1.041647,1.059570,1.059570,913122499
2022-01-30,1.059748,1.075346,1.028418,1.037473,1.037473,748084610
2022-01-31,1.037615,1.057604,1.012046,1.052303,1.052303,925666321
2022-02-01,1.052236,1.092317,1.037886,1.088624,1.088624,1130552843
2022-02-02,1.090309,1.100240,1.027750,1.028906,1.028906,1086043481
2022-02-03,1.028688,1.057225,1.019261,1.056444,1.056444,873675008
2022-02-04,1.056243,1.135624,1.047297,1.135624,1.135624,1178757518
2022-02-05,1.136061,1.172885,1.102618,1.127345,1.127345,1363912644
2022-02-06,1.127235,1.147803,1.103168,1.144547,1.144547,911521818
2022-02-07,1.144356,1.206854,1.128264,1.197307,1.197307,2107219347
2022-02-08,1.197650,1.257816,1.135913,1.178720,1.178720,2267265855
2022-02-09,1.177958,1.212157,1.154750,1.194810,1.194810,1239455609
2022-02-10,1.194636,1.218667,1.149182,1.152478,1.152478,1810255178
2022-02-11,1.152571,1.162573,1.072568,1.080347,1.080347,1395763170
2022-02-12,1.080511,1.091407,1.034717,1.058199,1.058199,1401190670
2022-02-13,1.058008,1.070944,1.035629,1.045819,1.045819,1066206015
2022-02-14,1.045469,1.052781,1.021529,1.050267,1.050267,1261583495
2022-02-15,1.050218,1.113366,1.050018,1.107586,1.107586,1370174980
2022-02-16,1.107631,1.110541,1.069289,1.084981,1.084981,1028924852
2022-02-17,1.084318,1.091512,1.012222,1.019895,1.019895,1093325576
2022-02-18,1.020223,1.041311,0.989473,0.997113,0.997113,1288743412
2022-02-19,0.997005,1.017854,0.977514,0.997703,0.997703,1104597763
2022-02-20,0.997629,0.997629,0.923295,0.932902,0.932902,1429017666
2022-02-21,0.932452,0.986247,0.857714,0.858236,0.858236,2072270994
2022-02-22,0.858130,0.893756,0.819990,0.889017,0.889017,2058499639
2022-02-23,0.888989,0.955431,0.869169,0.869169,0.869169,1824386011
2022-02-24,0.868515,0.882342,0.752810,0.853425,0.853425,3629367685
2022-02-25,0.853572,0.906541,0.829244,0.898027,0.898027,1652894219
2022-02-26,0.897996,0.928296,0.885401,0.887918,0.887918,1099934921
2022-02-27,0.887788,0.912676,0.840146,0.858335,0.858335,1278510571
2022-02-28,0.857870,0.967613,0.845040,0.959828,0.959828,1779202386
2022-03-01,0.959886,1.005403,0.944935,0.962346,0.962346,1778795527
2022-03-02,0.962425,0.973629,0.929062,0.938662,0.938662,1262681262
2022-03-03,0.938722,0.944079,0.886073,0.902659,0.902659,986233549
2022-03-04,0.902793,0.903050,0.830861,0.842889,0.842889,1115108721
2022-03-05,0.843175,0.880940,0.824839,0.865672,0.865672,734896311
2022-03-06,0.865688,0.870498,0.823004,0.823752,0.823752,670024869
2022-03-07,0.823738,0.845476,0.783291,0.797379,0.797379,1040234323
2022-03-08,0.797174,0.819148,0.790318,0.801250,0.801250,955952004
2022-03-09,0.801485,0.861431,0.801007,0.849293,0.849293,980869497
2022-03-10,0.849355,0.850576,0.791222,0.806316,0.806316,903650101
2022-03-11,0.806302,0.817147,0.785930,0.790125,0.790125,792395101
2022-03-12,0.790073,0.800801,0.789565,0.790674,0.790674,493606091
2022-03-13,0.790567,0.819025,0.783251,0.790995,0.790995,772035954
2022-03-14,0.790412,0.812075,0.781908,0.803917,0.803917,924771999
2022-03-15,0.803841,0.815622,0.785917,0.800006,0.800006,832137304
2022-03-16,0.800024,0.838632,0.795396,0.838374,0.838374,1233395707
2022-03-17,0.838362,0.855880,0.829930,0.836784,0.836784,909733920
2022-03-18,0.836657,0.858880,0.822879,0.853433,0.853433,792706852
2022-03-19,0.853274,0.912921,0.851972,0.901099,0.901099,1103521076
2022-03-20,0.901322,0.914603,0.865669,0.877092,0.877092,949951339
2022-03-21,0.877201,0.927599,0.865919,0.916782,0.916782,1233477886
2022-03-22,0.916888,0.985033,0.909592,0.976440,0.976440,1699537576
2022-03-23,0.976162,1.107482,0.959068,1.107482,1.107482,3447683427
2022-03-24,1.107204,1.185751,1.085422,1.130011,1.130011,3671006856
2022-03-25,1.130228,1.163815,1.075631,1.097888,1.097888,2232929187
2022-03-26,1.098015,1.157231,1.082272,1.150594,1.150594,1407171432
2022-03-27,1.151006,1.183395,1.108125,1.182148,1.182148,1322194562
2022-03-28,1.182334,1.242865,1.162468,1.170184,1.170184,2304056098
2022-03-29,1.169285,1.239358,1.169033,1.191112,1.191112,1761798381
2022-03-30,1.190980,1.216669,1.167608,1.190385,1.190385,1424442312
2022-03-31,1.190299,1.226320,1.137162,1.141851,1.141851,1745903089
2022-04-01,1.141952,1.172973,1.107619,1.165425,1.165425,1687785845
2022-04-02,1.165444,1.193844,1.151050,1.156007,1.156007,1224117012
2022-04-03,1.155909,1.198543,1.146687,1.185941,1.185941,976725814
2022-04-04,1.185800,1.240358,1.165493,1.212945,1.212945,2447778820
2022-04-05,1.213029,1.217393,1.167548,1.170801,1.170801,1188106135
2022-04-06,1.170792,1.171607,1.052379,1.052771,1.052771,1710318316
2022-04-07,1.053129,1.098469,1.045138,1.091894,1.091894,1139697598
2022-04-08,1.091632,1.097432,1.021370,1.026326,1.026326,926095649
2022-04-09,1.025912,1.045075,1.023790,1.045015,1.045015,640896639
2022-04-10,1.045012,1.068030,1.028757,1.030885,1.030885,626332866
2022-04-11,1.030671,1.030671,0.920116,0.920450,0.920450,1398303911
2022-04-12,0.920599,0.980855,0.920599,0.955145,0.955145,1076130201
2022-04-13,0.955122,0.978153,0.937400,0.974696,0.974696,791702878
2022-04-14,0.974569,0.983624,0.925471,0.932412,0.932412,812010499
